timeframe,homo-lumo_gap
1,1.6776
2,1.6761999999999997
3,1.6745999999999999
4,1.6729000000000003
5,1.6711
6,1.6692999999999998
7,1.6671999999999993
8,1.6650999999999998
9,1.6631
10,1.6608
11,1.6585999999999999
12,1.6563000000000008
13,1.6539000000000001
14,1.6516000000000002
15,1.6491000000000007
16,1.6467
17,1.6441999999999997
18,1.6418
19,1.6392999999999995
20,1.6367000000000003
21,1.6343000000000005
22,1.6317999999999993
23,1.6292
24,1.6266999999999996
25,1.6242
26,1.6216999999999997
27,1.6192000000000002
28,1.6166999999999998
29,1.6143
30,1.6119000000000003
31,1.6094999999999997
32,1.6072000000000006
33,1.6048999999999998
34,1.6025999999999998
35,1.6003000000000007
36,1.5983
37,1.5960999999999999
38,1.5942000000000007
39,1.5921999999999992
40,1.5903
41,1.5884999999999998
42,1.5867999999999993
43,1.5851999999999995
44,1.5838
45,1.5823999999999998
46,1.5811000000000002
47,1.58
48,1.5791000000000004
49,1.5781999999999998
50,1.5774999999999997
51,1.5769000000000002
52,1.5765000000000002
53,1.5762
54,1.5761000000000003
55,1.5760999999999994
56,1.5762999999999998
57,1.5764999999999993
58,1.5770999999999997
59,1.5776000000000003
60,1.5784000000000002
61,1.5791999999999993
62,1.5801999999999996
63,1.5813999999999995
64,1.5827
65,1.5841000000000003
66,1.5856000000000003
67,1.5873
68,1.5889999999999995
69,1.5907
70,1.5929000000000002
71,1.5948000000000002
72,1.5967000000000002
73,1.5987999999999998
74,1.6009000000000002
75,1.6033999999999997
76,1.6057000000000006
77,1.6081000000000003
78,1.6106000000000007
79,1.6129999999999995
80,1.6155000000000008
81,1.6180000000000003
82,1.6204999999999998
83,1.6230000000000002
84,1.6254999999999997
85,1.6280999999999999
86,1.6306000000000003
87,1.633
88,1.6358000000000006
89,1.6383
90,1.6408000000000005
91,1.6433999999999997
92,1.6455000000000002
93,1.6482999999999999
94,1.6508000000000003
95,1.6533999999999995
96,1.6558000000000002
97,1.6582999999999997
98,1.6607000000000003
99,1.6631
100,1.6654
101,1.6678000000000006
102,1.6702000000000004
103,1.6726
104,1.6749999999999998
105,1.6772
106,1.6795
107,1.6818999999999997
108,1.6841
109,1.6863000000000001
110,1.6886
111,1.6908000000000003
112,1.6929000000000007
113,1.6950000000000003
114,1.6971999999999996
115,1.6992000000000003
116,1.7012
117,1.7031999999999998
118,1.7050999999999998
119,1.7069
120,1.7086000000000006
121,1.7102000000000004
122,1.7115
123,1.7122000000000002
124,1.7115
125,1.7091000000000003
126,1.7062
127,1.7031
128,1.7001
129,1.6970999999999998
130,1.6941999999999995
131,1.6916000000000002
132,1.689
133,1.6865000000000006
134,1.6841999999999997
135,1.6820999999999993
136,1.6802000000000001
137,1.6784
138,1.6766999999999994
139,1.6753
140,1.6741000000000001
141,1.673
142,1.6717999999999993
143,1.6708999999999996
