timeframe,lumo+1-lumo_gap
1,0.5110999999999999
2,0.5147999999999997
3,0.5186000000000002
4,0.5221999999999998
5,0.5260000000000002
6,0.5295000000000001
7,0.5331000000000001
8,0.5366000000000004
9,0.5398000000000005
10,0.5428999999999999
11,0.5458000000000003
12,0.5483999999999996
13,0.5508000000000002
14,0.5527000000000002
15,0.5542999999999996
16,0.5554000000000001
17,0.5561000000000003
18,0.5562000000000005
19,0.5558000000000001
20,0.5549999999999997
21,0.5534999999999997
22,0.5518000000000005
23,0.5497999999999998
24,0.5474000000000006
25,0.5449999999999999
26,0.5425
27,0.5398999999999998
28,0.5373000000000001
29,0.5347000000000004
30,0.5321999999999996
31,0.5297000000000005
32,0.5272999999999999
33,0.5250000000000004
34,0.5228999999999999
35,0.5207999999999995
36,0.5187999999999997
37,0.5171000000000001
38,0.5153999999999996
39,0.5139000000000005
40,0.5124999999999997
41,0.5112999999999999
42,0.5102000000000007
43,0.5093000000000001
44,0.5085000000000002
45,0.5078
46,0.5074000000000001
47,0.5070000000000001
48,0.5067999999999997
49,0.5067000000000004
50,0.5066999999999999
51,0.5068999999999999
52,0.5070999999999999
53,0.5074999999999998
54,0.508
55,0.5086000000000004
56,0.5091999999999999
57,0.5099
58,0.5106000000000002
59,0.5114999999999994
60,0.5121999999999995
61,0.5131000000000006
62,0.5139000000000005
63,0.5147000000000004
64,0.5154999999999994
65,0.5160999999999998
66,0.5167999999999999
67,0.5173000000000001
68,0.5177
69,0.5181000000000004
70,0.5182000000000002
71,0.5182000000000002
72,0.5180999999999996
73,0.5176000000000003
74,0.5169999999999999
75,0.5162999999999998
76,0.5153999999999996
77,0.5140999999999996
78,0.5125999999999995
79,0.5110000000000001
80,0.5090999999999997
81,0.5070000000000001
82,0.5048000000000004
83,0.5023
84,0.4998
85,0.4969000000000001
86,0.4941
87,0.49109999999999987
88,0.4878999999999998
89,0.48470000000000013
90,0.4813999999999994
91,0.4780000000000002
92,0.47469999999999946
93,0.47120000000000006
94,0.4678
95,0.46419999999999995
96,0.46069999999999967
97,0.4572000000000003
98,0.45379999999999976
99,0.45040000000000013
100,0.4470000000000005
101,0.44369999999999976
102,0.4403999999999999
103,0.43710000000000004
104,0.4339999999999997
105,0.4310999999999994
106,0.42820000000000036
107,0.42530000000000046
108,0.4226000000000001
109,0.4199999999999995
110,0.4176000000000002
111,0.4152
112,0.41299999999999937
113,0.41100000000000003
114,0.40900000000000025
115,0.40719999999999956
116,0.4054999999999995
117,0.40400000000000036
118,0.4026000000000005
119,0.40139999999999976
120,0.40029999999999966
121,0.3994
122,0.39860000000000007
123,0.39800000000000013
124,0.3974999999999995
125,0.3971999999999998
126,0.3969999999999998
127,0.39700000000000024
128,0.39690000000000003
129,0.3972000000000002
130,0.3976000000000002
131,0.39809999999999945
132,0.39869999999999983
133,0.39949999999999974
134,0.4004000000000003
135,0.4014000000000002
136,0.4025999999999996
137,0.4038000000000004
138,0.40500000000000025
139,0.4066000000000001
140,0.40810000000000013
141,0.4096999999999995
142,0.4116000000000004
143,0.4134000000000002
144,0.41520000000000046
145,0.4170999999999996
146,0.41920000000000046
147,0.4213
148,0.4234
149,0.4257000000000004
150,0.4279000000000006
151,0.43020000000000014
152,0.4325000000000001
153,0.43489999999999984
154,0.4373
155,0.43969999999999976
156,0.44220000000000015
157,0.4448000000000003
158,0.4472999999999998
159,0.4498000000000002
160,0.45240000000000036
161,0.4550000000000005
162,0.4575
163,0.46019999999999994
164,0.46280000000000054
165,0.4653999999999998
166,0.4681000000000002
167,0.4706999999999999
168,0.4733000000000005
169,0.476
170,0.4785999999999997
171,0.48109999999999964
172,0.48380000000000045
173,0.4863999999999997
174,0.48889999999999967
175,0.49150000000000027
176,0.4941000000000004
177,0.4964999999999997
178,0.4990000000000001
179,0.5016000000000003
180,0.5039999999999996
181,0.5062999999999995
182,0.5088000000000004
183,0.5111000000000003
184,0.5133000000000005
185,0.5154999999999998
186,0.5175999999999998
187,0.5197000000000003
188,0.5217
189,0.5236000000000001
190,0.5255000000000001
191,0.5270999999999999
192,0.5286999999999997
193,0.5302999999999995
194,0.5315999999999996
195,0.5329999999999999
196,0.5341000000000005
197,0.5350999999999999
198,0.5361000000000002
199,0.5368999999999997
200,0.5374999999999996
201,0.5381999999999998
202,0.5387
203,0.5390000000000001
204,0.5392999999999999
205,0.5394999999999999
206,0.5396000000000005
207,0.5398000000000001
208,0.5397000000000003
209,0.5397999999999996
210,0.5397999999999996
211,0.5398000000000001
212,0.5397999999999996
213,0.5397999999999996
214,0.5398000000000005
215,0.5397999999999996
216,0.5398999999999998
217,0.5400999999999994
218,0.5401000000000002
219,0.5403000000000002
220,0.5406000000000004
221,0.5409000000000002
222,0.5411999999999999
223,0.5415999999999999
224,0.5420000000000003
225,0.5425
226,0.5430000000000001
227,0.5434999999999999
228,0.5441000000000003
229,0.5446999999999997
230,0.5451999999999999
231,0.5457999999999994
232,0.5463
233,0.5468999999999999
234,0.5474000000000001
235,0.5477999999999996
236,0.5481999999999996
237,0.5485000000000002
238,0.5488
239,0.5489999999999995
240,0.5490000000000004
241,0.5489999999999999
242,0.5488999999999997
243,0.5487000000000002
244,0.5484
245,0.5480000000000005
246,0.5473999999999997
247,0.5467000000000004
248,0.5460000000000003
249,0.5452000000000004
250,0.5442
251,0.5433000000000003
252,0.5423000000000004
253,0.5412000000000003
254,0.5400999999999998
255,0.5388999999999999
256,0.5377000000000001
257,0.5365999999999995
258,0.5353000000000003
259,0.5340999999999996
260,0.5329999999999999
261,0.5318
262,0.5306000000000002
263,0.5295000000000005
264,0.5284000000000004
265,0.5273999999999996
266,0.5265999999999997
267,0.5255999999999998
268,0.5247999999999995
269,0.5240999999999998
270,0.5235000000000003
271,0.5228999999999999
272,0.5225
273,0.5221
274,0.5218000000000003
275,0.5217
276,0.5215999999999998
277,0.5216000000000003
278,0.5217000000000005
279,0.5219
280,0.5221000000000005
281,0.5225
282,0.5229999999999997
283,0.5234999999999999
284,0.5241000000000002
285,0.5248000000000004
286,0.5253999999999994
287,0.5263000000000004
288,0.5271000000000003
289,0.5280000000000005
290,0.5289000000000001
291,0.5299
292,0.5308999999999999
293,0.5319999999999996
294,0.5329999999999995
295,0.5340000000000003
296,0.5351999999999997
297,0.5362
298,0.5373000000000001
299,0.5383000000000004
300,0.5392999999999994
301,0.5404000000000004
302,0.5415000000000001
303,0.5424999999999995
304,0.5434999999999999
305,0.5445000000000002
306,0.5455000000000005
307,0.5464000000000002
308,0.5472999999999999
309,0.5483000000000002
310,0.5491999999999995
311,0.5500999999999996
312,0.5507999999999997
313,0.5516999999999999
314,0.5526000000000004
315,0.5533000000000006
316,0.5541
317,0.5547999999999997
318,0.5556000000000001
319,0.5563000000000002
320,0.5569999999999999
321,0.5577000000000001
322,0.5584000000000002
323,0.5590999999999999
324,0.5596999999999999
325,0.5603000000000002
326,0.5609999999999999
327,0.5617000000000005
328,0.5622999999999996
329,0.5628999999999995
330,0.5634000000000006
331,0.5640000000000001
332,0.5646
333,0.5650999999999997
334,0.5657000000000001
335,0.5662000000000003
336,0.5666999999999995
337,0.5672000000000001
338,0.5677999999999996
339,0.5682
340,0.5688
341,0.5691999999999999
342,0.5696000000000003
343,0.5699999999999998
344,0.5704000000000002
345,0.5708000000000002
346,0.5710999999999995
347,0.5714000000000001
348,0.5715000000000003
349,0.5717000000000003
350,0.5718000000000001
351,0.5718999999999999
352,0.5717999999999996
353,0.5717000000000003
354,0.5714999999999995
355,0.5711999999999997
356,0.5709
357,0.5704000000000002
358,0.5698999999999996
359,0.5691999999999995
360,0.5685000000000002
361,0.5677999999999996
362,0.5669999999999997
