timeframe,homo-lumo_gap
1,1.0676
2,1.0571000000000006
3,1.0486999999999997
4,1.0426999999999995
5,1.0390000000000001
6,1.0380000000000003
7,1.0395000000000003
8,1.0434999999999999
9,1.0497999999999998
10,1.0585000000000004
11,1.0697000000000005
12,1.0834999999999995
13,1.0997999999999997
14,1.1188000000000002
15,1.1397999999999997
16,1.1622
17,1.1850999999999998
18,1.2077999999999998
19,1.2292000000000005
20,1.2489000000000003
21,1.2661999999999995
22,1.2806999999999995
23,1.2921999999999998
24,1.3009999999999997
25,1.3074
26,1.3118000000000003
27,1.3147000000000002
28,1.3165
29,1.3176999999999994
30,1.3187000000000002
31,1.3192000000000004
32,1.3194
33,1.3188
34,1.3170000000000002
35,1.3140000000000005
36,1.3096999999999994
37,1.3043
38,1.2980999999999998
39,1.2913000000000001
40,1.2843
41,1.2772000000000001
42,1.2699999999999996
43,1.263
44,1.2561
45,1.2493000000000003
46,1.2422999999999997
47,1.2353
48,1.2280000000000006
49,1.2203999999999997
50,1.2124000000000006
51,1.2043999999999997
52,1.1961999999999997
53,1.1881000000000004
54,1.1801999999999997
55,1.1723
56,1.1643000000000003
57,1.1562000000000001
58,1.1478000000000002
59,1.1394000000000002
60,1.1315999999999997
61,1.1247000000000003
62,1.1190999999999995
63,1.1148000000000002
64,1.1116000000000001
65,1.1094
66,1.1077
67,1.1064999999999996
68,1.1060000000000003
69,1.1061
70,1.1070000000000002
71,1.1088000000000005
72,1.1109999999999998
73,1.1136
74,1.1162999999999998
75,1.1189
76,1.1215000000000002
77,1.1242999999999999
78,1.1269999999999998
79,1.1296000000000004
80,1.1320999999999999
81,1.1339999999999995
82,1.1353999999999997
83,1.1365000000000003
84,1.1374
85,1.1384999999999996
86,1.1399000000000004
87,1.1415000000000002
88,1.1433
89,1.145
90,1.1465
91,1.1475999999999997
92,1.1486
93,1.1498000000000004
94,1.1512000000000002
95,1.1532
96,1.1557000000000004
97,1.1586999999999996
98,1.1618
99,1.1650999999999998
100,1.1683
101,1.1712000000000002
102,1.1743000000000006
103,1.1773999999999996
104,1.1807000000000003
105,1.1842000000000001
106,1.1877999999999997
107,1.1912000000000003
108,1.1943000000000001
109,1.1968999999999999
110,1.1992999999999996
111,1.2013999999999996
112,1.2032999999999996
113,1.2050999999999998
114,1.2064999999999997
115,1.2071999999999998
116,1.2069
117,1.2055999999999996
118,1.2031999999999998
119,1.1996999999999995
120,1.1955999999999998
121,1.1911
122,1.1867
123,1.1824999999999997
124,1.1782999999999997
125,1.1741999999999995
126,1.1698
127,1.1649999999999996
128,1.1592999999999996
129,1.1527000000000003
130,1.1454000000000004
131,1.1372999999999998
132,1.1286
133,1.1195000000000004
134,1.1099999999999994
135,1.1004000000000005
136,1.0910000000000002
137,1.0821000000000005
138,1.0739999999999998
139,1.0676
140,1.0633
141,1.0613999999999995
142,1.0617999999999999
143,1.0646999999999998
144,1.0694
145,1.0754000000000001
146,1.0821999999999998
147,1.0894
148,1.0967999999999996
149,1.1042
150,1.1113999999999997
151,1.1181999999999999
152,1.124
153,1.1287000000000003
154,1.1319999999999997
155,1.1341000000000006
156,1.1350999999999996
157,1.1353999999999997
158,1.1353
159,1.1352000000000002
160,1.1349
161,1.1348000000000003
162,1.1345999999999998
163,1.1348000000000003
164,1.1351
165,1.1357000000000004
166,1.1366000000000005
167,1.1378999999999997
168,1.1394000000000002
169,1.1406999999999998
170,1.1418
171,1.1425
172,1.1425
173,1.1418
174,1.1402
175,1.1378999999999997
176,1.1358000000000001
177,1.1340000000000003
178,1.1332999999999998
179,1.1332
180,1.1338
181,1.1351999999999998
182,1.1374
183,1.1406000000000005
184,1.1452
185,1.1511999999999998
186,1.1588000000000003
187,1.1679000000000004
188,1.1780999999999997
189,1.1891000000000003
190,1.2005
191,1.2118000000000002
192,1.2225000000000001
193,1.2321
194,1.2403
195,1.2479000000000005
196,1.2553
197,1.2628000000000004
198,1.2703000000000002
199,1.2776
200,1.2844000000000002
201,1.2909000000000002
202,1.2969000000000004
203,1.3026
204,1.3079
205,1.3126000000000002
206,1.3169
207,1.3202000000000003
208,1.3223999999999996
209,1.3237999999999999
210,1.3243999999999998
211,1.3248999999999995
212,1.3257999999999996
213,1.3276
214,1.3303999999999996
215,1.3337000000000003
216,1.3369999999999997
217,1.3398000000000003
218,1.3413
219,1.3417000000000003
220,1.3410999999999995
221,1.3402000000000003
222,1.3392999999999997
223,1.3386999999999998
224,1.3386000000000005
225,1.3386000000000005
226,1.3383999999999996
227,1.3378
228,1.3366000000000002
229,1.3353000000000002
230,1.3339000000000003
231,1.3331000000000004
232,1.3329999999999997
233,1.3338
234,1.3354
235,1.3373
236,1.3391000000000002
237,1.3407
238,1.3413999999999997
239,1.3417
240,1.3416999999999994
241,1.3416000000000006
242,1.3415999999999997
243,1.3418999999999999
244,1.3423999999999996
245,1.3424999999999998
246,1.3423999999999996
247,1.3416000000000001
248,1.3401999999999998
249,1.3384
250,1.3367
251,1.3350999999999997
252,1.3336000000000001
253,1.3323
254,1.3306000000000004
255,1.3284000000000002
256,1.3256999999999999
257,1.3226
258,1.3194000000000004
259,1.3166000000000002
260,1.3144000000000005
261,1.3126000000000002
262,1.3111999999999995
263,1.3098999999999998
264,1.3084000000000002
265,1.3069000000000002
266,1.3049
267,1.3027000000000002
268,1.3004000000000002
269,1.2980000000000005
270,1.2956000000000003
271,1.2932000000000001
272,1.29
273,1.2857999999999996
274,1.2803
275,1.274
276,1.2670000000000003
277,1.2596999999999996
278,1.2523
279,1.2448999999999995
280,1.2376999999999998
281,1.2307999999999995
282,1.2243
283,1.2184000000000004
284,1.2132999999999998
285,1.2090999999999998
286,1.2059000000000002
287,1.2037000000000004
288,1.2024
289,1.2019000000000002
290,1.2020000000000004
291,1.2024999999999997
292,1.2033
293,1.2044000000000001
294,1.2056999999999998
295,1.2072999999999996
296,1.2093000000000003
297,1.2117000000000004
298,1.2146000000000003
299,1.2180999999999997
300,1.2225000000000006
301,1.2276000000000002
302,1.2335999999999996
303,1.2401999999999997
304,1.2472000000000003
305,1.2542999999999997
306,1.2612
307,1.2680000000000002
308,1.2744000000000004
309,1.2805
310,1.2862000000000005
311,1.2915
312,1.2961999999999998
313,1.3001000000000005
314,1.3028999999999997
315,1.3049000000000004
316,1.3063999999999996
317,1.3078000000000003
318,1.3094999999999999
319,1.3119999999999994
320,1.3153000000000006
321,1.3192000000000004
322,1.3235999999999999
323,1.3280000000000003
324,1.3320999999999996
325,1.3359
326,1.3393000000000002
327,1.3424999999999998
328,1.3454000000000002
329,1.3481999999999998
330,1.3505000000000003
331,1.3522000000000003
332,1.3533000000000004
333,1.3533000000000004
334,1.3525
335,1.3506
336,1.3482000000000003
337,1.3453
338,1.3425000000000002
339,1.3397999999999999
340,1.3374000000000001
341,1.3353000000000002
342,1.3331
343,1.3305999999999996
344,1.3276999999999997
345,1.3243999999999998
346,1.3208000000000002
347,1.3171999999999997
348,1.3137999999999996
349,1.3105000000000002
350,1.3071000000000002
351,1.3032999999999997
352,1.299
353,1.2941000000000003
354,1.2889
355,1.2837
356,1.2793999999999999
